AssetID,DownloadAttribute,Filetype,Size,PrettyDownloadLink,RawDownloadLink
PaymentCard003,1K-JPG,zip,2414060,https://ambientCG.com/get?file=PaymentCard003_1K-JPG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/PaymentCard003_opiy7jbk/PaymentCard003_1K-JPG.zip
PaymentCard003,1K-PNG,zip,6032556,https://ambientCG.com/get?file=PaymentCard003_1K-PNG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/PaymentCard003_opiy7jbk/PaymentCard003_1K-PNG.zip
PaymentCard003,2K-JPG,zip,7767340,https://ambientCG.com/get?file=PaymentCard003_2K-JPG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/PaymentCard003_opiy7jbk/PaymentCard003_2K-JPG.zip
PaymentCard003,2K-PNG,zip,17571244,https://ambientCG.com/get?file=PaymentCard003_2K-PNG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/PaymentCard003_opiy7jbk/PaymentCard003_2K-PNG.zip
PaymentCard003,4K-JPG,zip,25057004,https://ambientCG.com/get?file=PaymentCard003_4K-JPG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/PaymentCard003_opiy7jbk/PaymentCard003_4K-JPG.zip
PaymentCard003,4K-PNG,zip,39867948,https://ambientCG.com/get?file=PaymentCard003_4K-PNG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/PaymentCard003_opiy7jbk/PaymentCard003_4K-PNG.zip
PaymentCard002,1K-JPG,zip,1724711,https://ambientCG.com/get?file=PaymentCard002_1K-JPG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/PaymentCard002_s3gzwn1d/PaymentCard002_1K-JPG.zip
PaymentCard002,1K-PNG,zip,5351783,https://ambientCG.com/get?file=PaymentCard002_1K-PNG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/PaymentCard002_s3gzwn1d/PaymentCard002_1K-PNG.zip
PaymentCard002,2K-JPG,zip,6087527,https://ambientCG.com/get?file=PaymentCard002_2K-JPG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/PaymentCard002_s3gzwn1d/PaymentCard002_2K-JPG.zip
PaymentCard002,2K-PNG,zip,15983079,https://ambientCG.com/get?file=PaymentCard002_2K-PNG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/PaymentCard002_s3gzwn1d/PaymentCard002_2K-PNG.zip
